,trial,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse,posmse_p,poscorr_p,wtcorr_p,wtmse_p,wtcorr_pv,poscorr_pv,wtcorr_pf,poscorr_pf,wtcorr_pvi,poscorr_pvi,wtcorr_pif,poscorr_pif,wtcorr_pvf,poscorr_pvf,wtcorr_pvif,poscorr_pvif,posmse_pv,wtmse_pv,posmse_pf,wtmse_pf,posmse_pvi,wtmse_pvi,posmse_pif,wtmse_pif,posmse_pvf,wtmse_pvf,posmse_pvif,wtmse_pvif
194,120,pvi,20,second,3,1,16.822572310288834,134,1.6060259342193604,,,,,,0.8579568018519707,0.4383644800929535,,0.810312340547218,0.9761483775948304,0.44157893471219606,0.8580403059055508,0.19382507611868507,0.5895735115565838,0.06649490695032105,0.9412357112303733,0.810165181163523,0.9762109121725664,0.9218461249783776,0.9991986846971018,,,,,0.5860413161280371,0.2591130705671252,,,,,,
195,120,pvi,20,second,3,2,0.0629778046071144,134,2.4184842109680176,,,,,,0.7652344227689771,-0.29241854908831505,,0.2894585943823344,0.9481261467147366,-0.2894585943821988,0.5517532278971721,0.9968300848325863,0.9982926279342602,-0.2841717718128499,0.8111396475079102,0.28945859438230265,0.9489990957271494,-0.2894585943821988,0.5907665313121888,,,,,0.0002871961979577762,0.002340574280650368,,,,,,
196,211,pvi,20,second,3,1,0.29197407164223427,75,1.5008571147918701,,,,,,0.27936534727407536,-0.6281527665137243,,0.9874843663389666,0.9993426563333903,0.6281527665278943,0.797685249979026,0.9919956713476658,0.9999958533508111,-0.6281527665137243,0.22891061581150488,0.9777034231685873,0.998896592064768,0.9759397016630177,0.9997684294959476,,,,,8.240892370907628e-07,0.0019212747995852996,,,,,,
197,211,pvi,20,second,3,2,0.05479464186004652,75,10.26379680633545,,,,,,0.9165354595630633,0.7716360367916895,,0.9900882781750397,0.9992347060514182,-0.4115175781740834,0.925376602984094,0.9984292463099608,0.9999499928814839,0.8116407057721698,0.9858819596830114,-0.06810074133727802,0.9994651763817145,-0.13699003447945454,0.9991740339102574,,,,,9.881849391961486e-06,0.0004047011897684166,,,,,,
198,266,pvi,20,second,3,1,0.2812347402558232,260,3.482116937637329,,,,,,-0.8130091395866087,0.20717312068318727,,0.5274997863935809,0.9691132453618408,-0.3068292935528553,0.4812627168422798,0.907480415716803,0.9988921871628439,-0.3108545684661357,0.4845397502209575,0.8022141048944641,0.9737447040437609,0.9078734207413413,0.9989745651809896,,,,,0.0024589571280155755,0.011374006083363428,,,,,,
199,266,pvi,20,second,3,2,20.08047719845601,260,2.4676380157470703,,,,,,0.9662245801421334,0.5587784422100586,,0.8347511426597855,0.9820006356452244,0.5668969771700711,0.9672754324677019,0.28503629399830827,0.4517433778219113,0.5604111824790903,0.9674368170188424,0.834176714465657,0.982105845952627,0.9930743880487034,0.9996191328950393,,,,,1.696521674779519,0.24472501671425967,,,,,,
200,14,pvi,20,second,8,1,6.428212586962823,178,1.5763089656829834,,,,,,0.746094349684789,0.40972029979239427,,0.733630759027875,0.9270024099257919,-0.443050018378277,0.890331308831383,0.40972030117613684,0.8972978338205446,0.15050840923654907,0.8645295428755037,0.6012980799879039,0.9882156178138567,0.7859109259859496,0.9987763381601799,,,,,0.10468983336286282,0.20892726868693237,,,,,,
201,14,pvi,20,second,8,2,3.415683380075197,178,5.161151885986328,,,,,,0.7431893364465866,-0.6700682989507741,,0.6700682989958605,0.8215628884431028,-0.6700682989507741,0.7431749355859176,0.9230639234102824,0.9998567458549642,0.4972189477394807,0.844846556307769,0.6700682989483153,0.8228667881985405,0.9228061332846911,0.9998567247798437,,,,,6.058177129919366e-05,0.015944581702986176,,,,,,
202,42,pvi,20,second,8,1,16.911964484661834,236,4.12444806098938,,,,,,0.7357767960992713,0.8056906344684629,,0.8323313272504717,0.808290800186397,0.7767171577391794,0.7467296487997214,0.8562445187962652,0.9902326870419874,-0.27744269883319067,0.8749920295888713,0.4853248606695152,0.8153090712779495,0.8569745938806257,0.990529591447914,,,,,0.01001818876158707,0.055299751758890035,,,,,,
203,42,pvi,20,second,8,2,294.3484912081409,236,10.489328861236572,,,,,,0.5345719913897223,-0.8446998995222633,,0.8446999426903248,0.5405416551323938,-0.8446999427069011,0.5357893400186368,0.8808855916729451,0.9995478549602782,-0.8446999427069011,0.5338152370798579,0.9768111390373257,0.8579407497931724,0.8446999426787265,0.5944942515324306,,,,,0.00027496636411733857,0.051371654843395724,,,,,,
